mass,eccentricity,sensitive_volume,sensitive_volume_sigma
5,0.0,152354857.7848212,10555195.267746154
5,0.1,150187489.0910316,10176097.713674996
5,0.2,152462204.93852,10206761.23742275
5,0.3,158027918.49624085,10825227.269505028
10,0.0,962463485.7414615,61908894.406004466
10,0.1,1043504601.1294055,72159589.02607988
10,0.2,981382856.3846005,69782434.09189285
10,0.3,1029651837.8501757,71390132.18649703
15,0.0,3722962835.1880393,315980751.04319876
15,0.1,2773250365.6340632,232264022.39561036
15,0.2,3080428714.1702247,269553345.65461713
15,0.3,3256006916.8030963,321832348.99513704
15,0.4,3633392457.479795,339934315.96853733
15,0.5,3174690703.0202646,271983026.6505619
20,0.0,8184466658.50785,770149432.8711634
20,0.1,7624312508.401665,659001138.632598
20,0.2,8433323818.580358,745429970.2127432
20,0.3,8210026851.492351,776889177.1495744
20,0.4,7132725425.026562,620782336.7463508
20,0.5,7972504942.140229,676415086.581876
25,0.0,18003076228.752804,1522156901.3427746
25,0.1,16494875915.519268,1280591225.1109784
25,0.2,15230241783.677248,1403751086.4063854
25,0.3,15869756304.863672,1332558010.968101
25,0.4,16019294056.741749,1349928311.4118226
25,0.5,25446677058.224598,2397079564.5565577
30,0.0,31925051051.149647,2808996032.681834
30,0.1,29452086310.117905,2754903648.0580482
30,0.2,31786940521.842834,2725359510.124647
30,0.3,36254199371.11494,3141168318.5808744
30,0.4,38137021547.46546,3425198763.535468
30,0.5,57561444876.93262,8173232990.071683
