mass,eccentricity,sensitive_volume(Mpc^3),sensitive_volume_sigma(Mpc^3),rate(Gpc^-3 yr^-1)
5,0.0,152354857.7848212,10555195.267746154,22.452079821949273
5,0.1,150187489.0910316,10176097.713674996,22.776087735065545
5,0.2,152462204.93852,10206761.23742275,22.436271531202877
5,0.3,158027918.49624085,10825227.269505028,21.6460702690829
10,0.0,962463485.7414615,61908894.406004466,3.554091639758482
10,0.1,1043504601.1294055,72159589.02607988,3.278072204515689
10,0.2,981382856.3846005,69782434.09189285,3.4855748763008565
10,0.3,1029651837.8501757,71390132.18649703,3.322174838621788
15,0.0,3722962835.1880393,315980751.04319876,0.9188067621614502
15,0.1,2773250365.6340632,232264022.39561036,1.2334564057524051
15,0.2,3080428714.1702247,269553345.65461713,1.1104569349425653
15,0.3,3256006916.8030963,321832348.99513704,1.050576216713055
15,0.4,3633392457.479795,339934315.96853733,0.9414571831360051
15,0.5,3174690703.0202646,271983026.6505619,1.0774855720565923
20,0.0,8184466658.50785,770149432.8711634,0.41794823914282725
20,0.1,7624312508.401665,659001138.632598,0.4486546720739855
20,0.2,8433323818.580358,745429970.2127432,0.40561509338821566
20,0.3,8210026851.492351,776889177.1495744,0.4166470451463568
20,0.4,7132725425.026562,620782336.7463508,0.4795759298744907
20,0.5,7972504942.140229,676415086.581876,0.4290600574188228
25,0.0,18003076228.752804,1522156901.3427746,0.1900054959931428
25,0.1,16494875915.519268,1280591225.1109784,0.20737854869391117
25,0.2,15230241783.677248,1403751086.4063854,0.22459810401123076
25,0.3,15869756304.863672,1332558010.968101,0.2155473192236848
25,0.4,16019294056.741749,1349928311.4118226,0.21353521672866316
25,0.5,25446677058.224598,2397079564.5565577,0.1344255448528569
30,0.0,31925051051.149647,2808996032.681834,0.10714731270957054
30,0.1,29452086310.117905,2754903648.0580482,0.11614401072400093
30,0.2,31786940521.842834,2725359510.124647,0.1076128552194561
30,0.3,36254199371.11494,3141168318.5808744,0.09435275051121168
30,0.4,38137021547.46546,3425198763.535468,0.08969456159519802
30,0.5,57561444876.93262,8173232990.071683,0.059426642878058676
